ID_Estudiante,Facultad,Programa,Año_Ingreso,Estado,Promedio,Asistencia,Indicadores_Adicionales
1979,Salud,Nutrición,,Retirado,6.61,82.46,Beca: No; Sin participación registrada
1906,Artes,Diseño,2016,Retirdo,7.47,99.97,Beca: No; Sin participación registrada
1700,Ingeniería,Ingeniería Ambiental,2010,Retirado,6.82,71.79,Beca: No; Sin participación registrada
1545,Economía,Administración de Empresas,2010,Egresado,5.72,95.67,Beca: No; Participa en actividades extracurriculares
1314,Ciencias Sociales,Psicología,2012,Retirado,3.43,76.26,Beca: No; Sin participación registrada
307,Economía,Contaduría,2022,Activo,3.16,50.62,Beca: No; Sin participación registrada
1667,Artes,Música,2022,Retirado,4.0,50.95,Beca: Sí; Sin participación registrada
863,Ciencias Sociales,Sociología,2020,Retirado,3.02,,Beca: No; Sin participación registrada
1567,Ciencias Sociales,Sociología,2012,Activo,2.13,83.17,
531,Ingeniería,Ingeniería Civil,2021,Activo,6.16,62.62,Beca: No; Participa en actividades extracurriculares
655,Ingeniería,Ingeniería de Software,2011,Activo,5.48,98.79,Beca: Sí; Sin participación registrada
1260,Humanidades,Literatura,2022,Activo,9.95,56.94,Beca: No; Sin participación registrada
234,Economía,Administración de Empresas,2016-2020,Retirado,1.06,70.59,Beca: No; Participa en actividades extracurriculares
121,Ciencias Sociales,Trabajo Social,2020,Activo,3.42,58.36,Beca: Sí; Participa en actividades extracurriculares
1698,Artes,Diseño,2015,Retirado,1.54,86.89,Beca: No; Participa en actividades extracurriculares
950,Artes,Diseño,2021,Activo,1.83,,Beca: Sí; Sin participación registrada
618,Ingeniería,Ingeniería Civil,2015,Egresado,3.56,94.04,Beca: Sí; Sin participación registrada
1179,Ciencias Sociales,Sociología,2011,Retirado,5.95,62.71,Beca: Sí; Sin participación registrada
308,Artes,Diseño,2017-2020,Activo,,68.52,Beca: No; Sin participación registrada
136,Artes,Música,2021,Activo,4.58,91.24,Beca: No; Participa en actividades extracurriculares
555,Humanidades,Filosofía,2013,Egresado,3.33,,Beca: Sí; Participa en actividades extracurriculares
1674,Humanidades,Historia,2013-2020,Egresado,7.51,70.83,Beca: No; Participa en actividades extracurriculares
584,Artes,Diseño,2015,Retirado,9.11,73.77,Beca: No; Sin participación registrada
1641,Ingeniería,Ingeniería Civil,2012,Retirado,10.695492889065873,,Beca: No; Sin participación registrada
671,Salud,Enfermería,2017,actvo,7.0,87.3,Beca: No; Participa en actividades extracurriculares
835,Artes,Diseño,2019,Activo,9.33,58.63,Beca: No; Sin participación registrada
110,Ingeniería,Ingeniería de Software,2013,Egresado,6.43,,Beca: No; Sin participación registrada
1165,Salud,Enfermería,2020,Activo,4.86,68.03,Beca: No; Sin participación registrada
1960,Ciencias Sociales,Sociología,2019,Activo,8.79,95.99,Beca: Sí; Participa en actividades extracurriculares
1465,Salud,Enfermería,2013,Retirado,8.48,92.64,Beca: No; Participa en actividades extracurriculares
1729,Economía,Administración de Empresas,2013,Egresado,7.2,54.84,Beca: No; Participa en actividades extracurriculares
138,Ciencias Sociales,Sociología,2010-2020,Retirado,3.63,56.33,Beca: No; Sin participación registrada
212,Humanidades,Literatura,2020,Activo,6.83,62.18,Beca: Sí; Sin participación registrada
1768,Ingeniería,Ingeniería de Software,2010,Egresado,3.91,65.99,Beca: Sí; Participa en actividades extracurriculares
1121,Salud,Nutrición,2010,Egresado,2.19,-5.735277362689854,Beca: No; Sin participación registrada
680,Artes,Artes Plásticas,2021,Activo,7.17,85.85,Beca: No; Sin participación registrada
1951,Ingeniería,Ingeniería Civil,2011,Activo,5.16,98.01,Beca: No; Sin participación registrada
1839,Economía,,2019,Activo,3.54,66.36,Beca: No; Participa en actividades extracurriculares
412,Ciencias Sociales,Psicología,2018,Activo,7.5,74.67,Beca: No; Sin participación registrada
1325,Ingeniería,Ingeniería de Software,2016,Retirado,5.42,78.15,Beca: No; Participa en actividades extracurriculares
783,Economía,Administración de Empresas,2019-2020,Retirdo,3.21,67.07,Beca: No; Sin participación registrada
1346,Salud,Medicina,2011,Retirado,7.66,77.45,Beca: No; Participa en actividades extracurriculares
875,Humanidades,Literatura,2011,Egresado,4.12,50.46,Beca: No; Sin participación registrada
1653,Salud,Nutrición,2010,Retirado,1.27,85.88,Beca: Sí; Participa en actividades extracurriculares
1279,Ingeniería,Ingeniería de Software,2014,Activo,1.07,64.02,Beca: No; Sin participación registrada
786,Ciencias Sociales,Psicología,2013,Activo,3.18,57.08,
1819,Ciencias Sociales,Sociología,2018-2020,Egresado,3.7,87.14,Beca: No; Sin participación registrada
1199,Salud,Medicina,2015,Activo,8.77,70.92,Beca: Sí; Sin participación registrada
808,Economía,Economía,2022,Retirado,2.23,107.71276717522767,Beca: No; Sin participación registrada
713,Ingeniería,Ingeniería Civil,2012,Retirado,4.94,84.95,Beca: Sí; Sin participación registrada
1991,Humanidades,Filosofía,2015,Retirado,6.23,88.12,Beca: No; Sin participación registrada
1660,Economía,Administración de Empresas,2019,Egresado,8.27,94.87,Beca: No; Sin participación registrada
1191,Ciencias Sociales,Psicología,2020,Retirado,9.48,87.15,Beca: Sí; Participa en actividades extracurriculares
1226,Salud,Medicina,2017,Egresado,10.916325623145799,61.96,Beca: No; Participa en actividades extracurriculares
603,Artes,Diseño,,,2.0,66.56,Beca: No; Participa en actividades extracurriculares
271,Salud,,2020,Retirado,11.366096463264823,94.4,Beca: No; Sin participación registrada
1385,Economía,Administración de Empresas,2019,Egresado,5.35,81.83,Beca: Sí; Participa en actividades extracurriculares
232,Economía,Contaduría,2018,Activo,11.03526186414475,73.36,Beca: No; Sin participación registrada
50,Humanidades,,2019,Retirado,7.13,54.86,Beca: No; Participa en actividades extracurriculares
463,Economía,Contaduría,2022,,9.05,85.87,Beca: No; Participa en actividades extracurriculares
1106,Artes,Artes Plásticas,2021,Retirado,7.52,73.57,Beca: No; Participa en actividades extracurriculares
856,Economía,Contaduría,2011,Retirado,2.08,80.15,Beca: No; Participa en actividades extracurriculares
694,Humanidades,Historia,2018,Egresado,4.56,91.14,Beca: No; Sin participación registrada
1552,Ciencias Sociales,Psicología,,Retirado,1.5,91.89,Beca: No; Participa en actividades extracurriculares
1873,Economía,Contaduría,2019,Activo,6.37,58.75,Beca: No; Sin participación registrada
527,Economía,Contaduría,2017,Egresado,3.55,69.47,Beca: No; Participa en actividades extracurriculares
174,Humanidades,Literatura,2014,Retirado,6.86,,Beca: Sí; Participa en actividades extracurriculares
721,Humanidades,Historia,2015,Retirado,8.18,58.67,Beca: No; Sin participación registrada
415,Ingeniería,Ingeniería de Software,2020,Retirado,4.52,52.62,Beca: Sí; Sin participación registrada
238,Artes,Música,2012,Activo,5.95,,Beca: Sí; Participa en actividades extracurriculares
266,Humanidades,Historia,2010,Activo,9.68,78.66,Beca: No; Participa en actividades extracurriculares
1336,Humanidades,Filosofía,2019,Retirado,6.32,65.72,Beca: Sí; Sin participación registrada
1064,Salud,Enfermería,2020,Activo,2.55,87.59,Beca: No; Sin participación registrada
24,Economía,Economía,2021,Activo,9.26,56.67,Beca: No; Sin participación registrada
1767,Ingeniería,Ingeniería Ambiental,2012,Egresado,1.34,93.34,Beca: Sí; Participa en actividades extracurriculares
64,Ciencias Sociales,Psicología,2013,Retirado,1.65,52.12,
290,Ingeniería,Ingeniería Civil,2020,Egresado,6.87,63.52,Beca: No; Participa en actividades extracurriculares
189,Economía,Economía,2010,Retirado,6.74,78.12,Beca: No; Sin participación registrada
702,Economía,Administración de Empresas,2010,Activo,9.63,85.5,Beca: No; Participa en actividades extracurriculares
1815,Ciencias Sociales,Sociología,2010,Egresado,8.19,95.39,Beca: No; Participa en actividades extracurriculares
1138,Humanidades,,2016,Activo,7.17,74.67,Beca: No; Participa en actividades extracurriculares
355,Humanidades,Historia,2020,Egresado,,57.69,Beca: Sí; Sin participación registrada
417,Humanidades,Filosofía,2016,Activo,5.13,90.75,Beca: No; Participa en actividades extracurriculares
1246,,Nutrición,2021,Retirado,2.95,75.48,Beca: No; Sin participación registrada
931,Ciencias Sociales,Psicología,2017,Egresado,9.38,75.14,Beca: No; Participa en actividades extracurriculares
197,Salud,Nutrición,2013,Activo,2.6,59.35,Beca: Sí; Sin participación registrada
580,Ciencias Sociales,Trabajo Social,2010,Retirado,4.07,84.81,Beca: No; Sin participación registrada
1135,Ingeniería,Ingeniería de Software,2011,actvo,6.33,52.94,Beca: No; Sin participación registrada
1814,Ingeniería,Ingeniería Civil,2013,Activo,7.22,68.72,Beca: No; Participa en actividades extracurriculares
1935,Salud,Medicina,2013,Retirado,1.16,77.31,Beca: No; Sin participación registrada
434,Salud,Medicina,2012,Retirado,1.95,51.46,Beca: No; Participa en actividades extracurriculares
101,Ciencias Sociales,Psicología,2015,Retirado,3.35,61.82,Beca: No; Sin participación registrada
1655,Salud,Medicina,2011,Activo,2.46,,Beca: No; Sin participación registrada
395,Ingeniería,Ingeniería Ambiental,2019,Activo,,56.3,Beca: No; Participa en actividades extracurriculares
1939,Humanidades,Filosofía,2016,Retirado,6.33,87.31,Beca: No; Sin participación registrada
221,Salud,Nutrición,2014,Activo,4.64,-8.424686918674324,Beca: No; Participa en actividades extracurriculares
1676,Ciencias Sociales,Trabajo Social,2021,Egresado,8.62,76.46,Beca: No; Sin participación registrada
1498,Economía,Administración de Empresas,2018,Egresado,11.54531693122247,73.93,Beca: No; Sin participación registrada
1785,Ciencias Sociales,Psicología,2015,Egresado,7.81,75.73,Beca: Sí; Sin participación registrada
345,Ciencias Sociales,Psicología,2012,Retirado,8.31,89.47,Beca: Sí; Participa en actividades extracurriculares
1028,Ciencias Sociales,Sociología,,Activo,2.63,63.49,Beca: Sí; Sin participación registrada
889,Ciencias Sociales,Trabajo Social,2019,Activo,3.49,88.32,
1351,Artes,,2018,Retirado,11.894621507980897,-6.579069916939286,Beca: Sí; Sin participación registrada
553,Economía,Contaduría,2012,Retirado,9.43,94.78,Beca: No; Participa en actividades extracurriculares
744,Artes,Diseño,2010,actvo,10.937134545114276,95.9,
1542,Ingeniería,Ingeniería de Software,2020,Activo,9.0,98.83,Beca: No; Sin participación registrada
539,Salud,Medicina,2021,Activo,3.72,77.57,Beca: No; Participa en actividades extracurriculares
907,Ciencias Sociales,Psicología,2014,Activo,,83.34,Beca: Sí; Sin participación registrada
1395,Artes,Artes Plásticas,2018,Egresado,8.71,58.11,Beca: Sí; Sin participación registrada
116,Artes,Artes Plásticas,2016,Egresado,,74.99,Beca: No; Sin participación registrada
830,Ingeniería,Ingeniería Ambiental,2011,Egresado,1.3,81.65,Beca: No; Participa en actividades extracurriculares
1938,Artes,Diseño,2013,Retirado,3.8,52.8,Beca: No; Sin participación registrada
809,Salud,Nutrición,2011,Activo,3.09,97.71,
1311,Ciencias Sociales,Trabajo Social,2022,Retirdo,3.1,67.9,Beca: Sí; Participa en actividades extracurriculares
1005,Ingeniería,Ingeniería de Software,2010-2020,Retirado,3.05,108.49394285217012,Beca: Sí; Sin participación registrada
306,Ciencias Sociales,Trabajo Social,2017,Retirado,,71.71,Beca: Sí; Sin participación registrada
1101,Ciencias Sociales,Trabajo Social,2019,Retirado,9.89,108.1893796991431,Beca: No; Sin participación registrada
480,,Medicina,2019,,2.82,62.02,Beca: Sí; Sin participación registrada
1424,Humanidades,Filosofía,2012,Retirado,1.32,75.84,Beca: No; Sin participación registrada
1076,Humanidades,Historia,2014,Retirado,6.26,57.84,Beca: No; Participa en actividades extracurriculares
571,Artes,Diseño,2012,Retirado,1.09,57.52,Beca: Sí; Sin participación registrada
619,Salud,Nutrición,2018,Retirado,N/A,84.96,Beca: No; Sin participación registrada
1898,Salud,Medicina,2018,Retirado,4.2,,Beca: No; Sin participación registrada
1266,Humanidades,Literatura,2013,Retirado,8.76,96.49,Beca: No; Sin participación registrada
79,Salud,Enfermería,2022,Egresado,8.03,66.6,Beca: Sí; Participa en actividades extracurriculares
1912,,Economía,2012,Retirado,7.61,71.95,Beca: Sí; Sin participación registrada
33,,Medicina,2013,Retirado,6.0,73.8,Beca: No; Sin participación registrada
1538,Salud,Nutrición,2021,Egresado,3.72,59.41,Beca: No; Participa en actividades extracurriculares
427,,Sociología,2010,Egresado,3.63,70.17,Beca: Sí; Participa en actividades extracurriculares
1109,Economía,Administración de Empresas,2013,Activo,6.82,53.16,Beca: No; Sin participación registrada
352,Humanidades,Filosofía,2015,Egresado,2.05,108.84511603236454,Beca: No; Sin participación registrada
164,,Ingeniería Ambiental,2017,Retirado,6.78,68.55,Beca: No; Participa en actividades extracurriculares
204,Ingeniería,Ingeniería de Software,2012,Activo,4.55,54.26,Beca: Sí; Sin participación registrada
1054,Ciencias Sociales,Psicología,2016,Activo,5.61,73.5,Beca: No; Participa en actividades extracurriculares
1365,Salud,Nutrición,2018,Egresado,7.65,57.68,Beca: No; Sin participación registrada
1967,Artes,Música,,Retirado,1.18,90.53,Beca: No; Sin participación registrada
496,Salud,Enfermería,2020,Retirado,9.14,71.87,Beca: Sí; Sin participación registrada
1625,Salud,Enfermería,2014,Retirado,1.93,82.28,Beca: No; Sin participación registrada
1966,Salud,Medicina,2012,Activo,7.65,99.03,Beca: Sí; Participa en actividades extracurriculares
1963,Salud,Nutrición,2020,Egresado,2.02,76.76,Beca: No; Participa en actividades extracurriculares
611,Artes,Artes Plásticas,2012,Activo,3.2,73.86,Beca: Sí; Sin participación registrada
433,Ingeniería,Ingeniería de Software,2019,Activo,8.89,85.83,Beca: Sí; Sin participación registrada
1492,Ciencias Sociales,Trabajo Social,2010,Egresado,N/A,68.85,Beca: No; Sin participación registrada
219,Humanidades,Historia,2019,,4.61,64.32,Beca: No; Participa en actividades extracurriculares
1931,Economía,Contaduría,2015,Retirado,2.28,84.42,Beca: Sí; Sin participación registrada
1466,Economía,Administración de Empresas,2021-2020,Activo,,,
631,Artes,Artes Plásticas,2021,Retirado,3.04,82.97,Beca: No; Sin participación registrada
1382,Humanidades,Filosofía,2011,,7.19,88.23,Beca: No; Participa en actividades extracurriculares
1302,Salud,Medicina,2019,Activo,3.04,88.28,Beca: No; Participa en actividades extracurriculares
60,Humanidades,Literatura,2016,Retirado,3.59,55.18,Beca: No; Participa en actividades extracurriculares
299,Salud,Nutrición,2022,Egresado,9.84,66.21,Beca: No; Sin participación registrada
1711,Ingeniería,Ingeniería Civil,2017,,9.8,71.44,Beca: No; Participa en actividades extracurriculares
74,,Ingeniería Ambiental,2012,Retirado,4.94,61.1,
163,Salud,Enfermería,2014,Activo,5.95,52.73,Beca: Sí; Participa en actividades extracurriculares
1275,,Artes Plásticas,2022,Egresado,9.65,70.4,Beca: No; Sin participación registrada
1594,Ciencias Sociales,Trabajo Social,2019,Activo,3.92,87.28,Beca: No; Sin participación registrada
1434,Ingeniería,,2017,Activo,2.29,,Beca: No; Sin participación registrada
1613,Economía,Contaduría,2021,Activo,6.15,80.35,Beca: Sí; Sin participación registrada
